Assets Type,Path,Tag,Description
Rack,/media/simple/another_Documents/isaacsim_assets/Assets/new/Industrial_NVD@10012/Assets/ArchVis/Industrial/Shelves/RackLargeEmpty_A1.usd,"Layers:2
Columns:1
DNA:DE(a)
Scale:0.01","Functional Features: This object is a double-layer industrial shelf, used to provide material storage space in scenarios such as warehousing and workshops. It can classify and place tools, components, finished products, etc. Its application scenarios include cargo storage in e-commerce warehouses, parts placement in automobile workshops, and material organization in small factories. It can effectively utilize vertical space, increase storage capacity and the convenience of material access, and help standardize the management of warehousing and production areas.
Visual Features: The main frame is in blue and red colors, and the shelves are dark gray. The material is metal (frame and shelves), and the surface treatment shows the solid texture of metal. The coating is uniform and has certain wear resistance. The structural design is concise and stable, and the double-layer layout is layered and distinct against the black background. The color matching highlights the practicality and recognizability of industrial equipment."
Rack,/media/simple/another_Documents/isaacsim_assets/Assets/new/Industrial_NVD@10012/Assets/ArchVis/Industrial/Shelves/RackLargeEmpty_A2.usd,"Layers:3
Columns:1
DNA:DE(b)
Scale:0.01","Functional Features: This object is a three-layer industrial shelf, used to provide multi-layer material storage space in scenarios such as warehousing and production workshops. It can classify and store tools, components, finished products or raw materials. Its application scenarios include layered storage of goods in e-commerce warehouses, parts organization in mechanical workshops, and material placement in small warehousing centers. It can efficiently utilize vertical space, increase storage capacity and the convenience of material access, and help orderly manage warehousing and production areas.
Visual Features: The main frame is in blue and red colors, and the shelves are dark gray. The material is metal (frame and shelves), and the surface treatment shows the solid texture of metal. The coating is uniform and wear-resistant. The three-layer structural design is concise and stable, with clear layers against the black background. The color matching highlights the practicality and recognizability of industrial equipment."
Rack,/media/simple/another_Documents/isaacsim_assets/assets/Pallet_Rack/Pallet_Rack.usdc,"Layers:3
Columns:1
DNA:DE(c)
Scale:0.01","Functional Features: This object is a three-layer industrial shelf, used to provide multi-layer material storage and classification space in scenarios such as warehousing and workshops. It can place tools, components, finished products, etc. Its application scenarios include layered storage of goods in e-commerce warehouses, parts organization in mechanical workshops, and material placement in small warehousing centers. It can efficiently utilize vertical space, increase storage capacity and the convenience of material access, and help orderly manage warehousing and production areas.
Visual Features: The main frame is silver-gray (metal material) with blue edges, and the shelves are silver-gray metal. The surface treatment shows the solid texture of metal, with uniform and wear-resistant coating. The three-layer structural design is concise and stable, with clear layers against the black background. The color matching of silver-gray and blue highlights the practicality and recognizability of industrial equipment."
Rack,/media/simple/another_Documents/isaacsim_assets/Assets/new/Industrial_NVD@10012/Assets/ArchVis/Industrial/Shelves/RackLongEmpty_A1.usd,"Layers:2
Columns:1
DNA:DE(d)
Scale:0.01","Functional Features:This is a heavy-duty industrial storage rack, commonly used in warehouses, factories, logistics centers, and workshops for storing large tools, components, boxes, or raw materials. Its functional features include high load-bearing capacity, strong structural stability, and a modular design that allows for flexible assembly and shelf adjustment. The two-tier configuration supports frequent access and bulk material management. Compatible with forklifts or manual handling, this rack is a fundamental element in modern storage systems.
Visual Features:Visually, the rack features a classic industrial color scheme: blue vertical posts and red horizontal beams create strong contrast for visibility and safety. The upright frames are made of metal with a powder-coated finish, offering excellent rust resistance and durability. Perforated holes and diagonal bracing enhance structural integrity. The shelves are made of dark solid panels—likely metal or reinforced composite—with a matte finish for scratch and load resistance. The overall design is clean and utilitarian, emphasizing functionality and long-term durability as a standard industrial storage solution."
Rack,/media/simple/another_Documents/isaacsim_assets/Assets/new/Industrial_NVD@10012/Assets/ArchVis/Industrial/Shelves/RackLongEmpty_A2.usd,"Layers:3
Columns:1
DNA:DE(e)
Scale:0.01","Functional Features:This is a three-tier heavy-duty industrial storage rack, commonly used in warehouses, manufacturing workshops, logistics centers, and parts storage areas. Its functional features include high load-bearing capacity, structural stability, and modular expandability, making it ideal for storing tools, boxes, raw materials, or semi-finished goods. The open-frame design allows for easy access by hand or with machinery, improving storage efficiency and space utilization. Diagonal braces enhance the rack’s overall rigidity, making it suitable for frequent use in demanding industrial environments.
Visual Features:Visually, the rack features a classic industrial color scheme: blue vertical posts, red horizontal beams, and black or dark gray shelves create strong contrast for visibility and zone identification. Both the posts and beams are made of metal with a powder-coated finish, offering excellent rust and wear resistance. The shelves are solid panels with a matte surface, designed to withstand pressure and abrasion. The overall design is clean and robust, emphasizing functionality and durability—making it a standard solution in modern industrial storage systems."
Rack,/media/simple/another_Documents/isaacsim_assets/Assets/new/Industrial_NVD@10012/Assets/ArchVis/Industrial/Shelves/RackSmallEmpty_A1.usd,"Layers:2
Columns:1
DNA:DE(f)
Scale:0.01","Functional Features:This is a two-tier heavy-duty industrial storage rack, commonly used in warehouses, factories, workshops, logistics centers, and tool rooms. Its functional features include high load-bearing capacity, structural stability, and modular expandability, making it ideal for storing medium to large items such as toolboxes, cartons, or semi-finished goods. The open-frame design allows for easy access by hand or forklift, improving operational efficiency. Side cross-bracing enhances lateral stability, making it suitable for high-frequency use in demanding industrial environments.
Visual Features:Visually, the rack features a classic industrial color scheme: blue vertical posts and red horizontal beams create strong contrast for visibility and safety awareness. The posts are made of metal with a powder-coated finish, offering excellent rust and wear resistance. The shelves are dark solid panels, likely metal or high-strength composite, with a matte surface that resists pressure and scratches. The overall design is clean and robust, emphasizing practicality and durability, making it a standard solution for various industrial and commercial storage applications.
"
Rack,/media/simple/another_Documents/isaacsim_assets/Assets/new/Industrial_NVD@10012/Assets/ArchVis/Industrial/Shelves/RackSmallEmpty_A2.usd,"Layers:2
Columns:1
DNA:DE(g)
Scale:0.01","Functional Features:This is a two-tier heavy-duty industrial shelving unit, commonly used in warehouses, manufacturing workshops, logistics centers, and tool storage areas. Its functional features include high load-bearing capacity, strong structural stability, and a modular design that allows for easy assembly and expansion. It is ideal for storing large tools, raw materials, cartons, or semi-finished goods. The open-frame design facilitates quick access by hand or machinery, improving storage efficiency. Diagonal side braces enhance lateral stability, making it suitable for high-frequency use in demanding industrial environments.
Visual Features:Visually, the rack features a classic industrial color scheme: blue vertical posts and red horizontal beams create strong contrast for visibility and safety awareness. Both the posts and beams are made of metal with a powder-coated finish, offering excellent resistance to rust and wear. The shelves are solid black panels, likely metal or high-strength composite, with a matte surface that resists pressure and scratches. The overall design is clean and robust, emphasizing functionality and durability, making it a standard solution for various industrial and commercial storage needs."
Rack,/media/simple/another_Documents/isaacsim_assets/Assets/new/SimReady_Warehouse_01_NVD@10010/Assets/simready_content/common_assets/props/industrialsteelshelving_a23/industrialsteelshelving_a23.usd,"Layers:4
Columns:1
DNA:DE(h)
Scale:1","Functional Features:This is a four-tier shelving unit with a metal frame and wooden shelves, commonly used in workshops, warehouses, garages, utility rooms, and household storage areas. Its functional features include high load-bearing capacity, adjustable shelf heights, and a stable structure, making it ideal for storing tools, parts, boxes, cleaning supplies, and more. The open design allows for easy access and organization, while the modular construction supports quick assembly and disassembly. It is a versatile storage solution suitable for both commercial and residential environments.
Visual Features:Visually, the unit combines dark gray metal uprights with light-colored wooden shelves, creating a modern industrial aesthetic. The metal frame has a powder-coated finish for rust and wear resistance, and features evenly spaced perforations for flexible shelf adjustment. The wooden shelves have a matte surface with natural grain, adding warmth and practicality to the overall look. The structure is clean-lined and well-proportioned, emphasizing functionality and spatial adaptability—ideal for efficient and organized storage in a variety of settings."
Rack,/media/simple/another_Documents/isaacsim_assets/Assets/new/SimReady_Warehouse_01_NVD@10010/Assets/simready_content/common_assets/props/openindustrialsteelshelving_a01/openindustrialsteelshelving_a01.usd,"Layers:4
Columns:1
DNA:DE(i)
Scale:1","Functional Features:This is a four-tier metal shelving unit commonly used in warehouses, workshops, garages, utility rooms, and household storage areas. Its functional features include high load-bearing capacity, adjustable shelf heights, and a stable structure, making it ideal for storing tools, parts, boxes, cleaning supplies, and other medium-sized items. The open-frame design allows for quick access and efficient organization, while the evenly spaced holes on the vertical posts enable flexible shelf positioning to accommodate various storage needs. It is a versatile and practical solution for modern storage systems.
Visual Features:Visually, the shelving unit is constructed entirely of metal with a dark gray powder-coated finish, offering excellent resistance to rust and wear while presenting a clean industrial aesthetic. The four-shelf layout is symmetrical and streamlined, with strong lines that enhance spatial order. The evenly spaced perforations on the posts add both functional and visual rhythm. The overall design emphasizes durability, adaptability, and visual clarity, making it suitable for a wide range of commercial and residential storage environments."
Rack,/media/simple/another_Documents/isaacsim_assets/Assets/new/SimReady_Warehouse_01_NVD@10010/Assets/simready_content/common_assets/props/sm_heavydutysteelshelving_a18/sm_heavydutysteelshelving_a18.usd,"Layers:5
Columns:1
DNA:DE(j)
Scale:1","Functional Features:This is a five-tier metal shelving unit commonly used in warehouses, workshops, utility rooms, retail backrooms, and household storage areas. Its functional features include high load-bearing capacity, adjustable shelf heights, and a stable structure, making it ideal for storing tools, parts, boxes, cleaning supplies, and more. The open-frame design allows for quick access and efficient organization, while the evenly spaced perforations on the vertical posts enable flexible shelf positioning to accommodate various storage needs. It is a versatile and practical solution for modern storage systems.
Visual Features:Visually, the shelving unit is constructed entirely of metal with a dark gray powder-coated finish, offering excellent resistance to rust and wear while presenting a clean industrial aesthetic. The five-shelf layout is symmetrical and evenly spaced, with strong lines that enhance spatial order. The perforations on the posts add both functional flexibility and visual rhythm. The overall design emphasizes durability, adaptability, and visual clarity, making it suitable for a wide range of commercial and residential storage environments."
