﻿Assets Type,InstanceID,Path,Tag,Description,bbox_min_meters,bbox_max_meters
Conveyor,Conveyor.c.1,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Conveyor/ConveyorBelt_A16.usdz,"Shape: circular
Directionality: one-way
DNA: D_{C}(a)","Functional Features: This object is an arc-shaped multi-layer conveyor belt system, functioning to steer and transfer materials in layers. It is used for efficient material steering and multi-layer diversion in scenarios like logistics sorting and electronic manufacturing, improving the material flow efficiency of production lines or warehouses. Its application scenarios include package steering and conveying in e-commerce sorting centers and multi-layer material distribution in auto parts production lines. It can meet the demand for one-way arc transmission, optimize space utilization and enhance transmission continuity.
Visual Features: The main body features a blue frame with a black conveyor belt and silver rollers. The material combines metal (frame, rollers) and rubber (conveyor belt), with a surface treatment that shows the solid texture of metal and the wear-resistant properties of rubber. The arc structure design is highly industrial against the black background, and the multi-layer layout highlights the rationality of space utilization and the efficiency of transmission.","(-0.00015713214994156295, -7.520476714257813, 0.0)","(4.081587219237084, 0.5086062325195322, 2.31105339050293)"
Conveyor,Conveyor.b.1,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Conveyor/ConveyorBelt_A08.usdz,"Shape: straight
Directionality: one-way
DNA:D_{C}(b)","Functional Features: This object is a straight roller conveyor belt, functioning to transmit materials in a straight and one-way manner. It is used for automated transportation of pallets and boxed goods in industrial production lines and warehousing logistics, and can connect upstream and downstream equipment to complete continuous material flow. Its application scenarios include parts transportation in electronic manufacturing lines and cargo transfer before sorting in e-commerce warehouses. It can efficiently handle linear transportation tasks of regular-shaped materials, improving the automated flow efficiency of production lines and warehouses.
Visual Features: The main body features a blue metal frame with silver rollers. The material combines metal (frame, rollers) and industrial plastic accessories, with a surface treatment that shows the solid luster of metal and the regular texture of components. The straight structure design is concise and practical, and the blue-silver color scheme against the black background highlights the professionalism and functionality of industrial equipment.","(-2.7187200728515624, -0.5754906929687512, 0.0)","(3.969277343784938e-05, 0.5754614554687494, 1.1663306427001954)"
Conveyor,Conveyor.b.2,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Conveyor/ConveyorBelt_A09.usdz,"Shape: straight
Directionality: one-way
DNA:D_{C}(c)","Functional Features: This object is a straight flat conveyor belt, functioning to transmit materials in a one-way straight line. It is used for automated transportation of boxed and plate-shaped goods in industrial production and warehousing sorting scenarios, and can connect production equipment or sorting systems to complete continuous material flow. Its application scenarios include finished product transportation in food processing lines and small cargo transfer in e-commerce warehouses. It can efficiently handle linear transportation tasks of various regular materials, improving the automated operation efficiency of production lines and warehouses.
Visual Features: The main body features a blue metal frame with a silver-gray flat conveyor belt. The material combines metal (frame) and wear-resistant plate (conveyor belt), with a surface treatment that shows the solid texture of metal and the flat characteristics of the plate. The straight structure design is concise and practical, and the blue-silver color scheme against the black background highlights the professionalism and functionality of industrial equipment.","(-4.002977294921875, -0.601344557885743, 0.0)","(1.22070312524869e-06, 0.5754925240234375, 2.3109491729736327)"
Conveyor,Conveyor.b.3,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Conveyor/Conveyor_Belt.usdz,"Shape：straight
Directionality：one-way
DNA：DC(d)","Functional Features: This object is an industrial conveyor belt system primarily used for transporting items during manufacturing or packaging processes. Its functional features include efficient material handling, making it suitable for automated production lines, logistics sorting centers, and food processing facilities. The belt surface features diagonal textures that enhance grip, preventing slippage and ensuring stable, secure transport. The structure is reinforced with evenly spaced vertical metal supports, each anchored with square bases to maintain stability and durability during high-speed operation.
Visual Features: Visually, the conveyor system has a sleek silver-gray appearance, typical of industrial-grade metal equipment. The materials are likely stainless steel or aluminum alloy, chosen for their corrosion resistance and structural strength. The support frames have a smooth metallic finish, while the belt surface incorporates anti-slip textures for both functionality and safety. The overall design is clean and utilitarian, reflecting the practical aesthetics of modern industrial machinery.","(-0.0011627073462930366, -0.050462711561640006, -0.016303741665440918)","(0.006829894974472635, 0.0480021781049065, 0.025731861680997878)"
Conveyor,Conveyor.b.4,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Conveyor/Simple_rubber_conveyor.usdz,"Shape:straight
Directionality:two-way
DNA:D_{C}(e)","Functional Features: This conveyor system is a typical industrial transport device designed for continuous material handling along production lines. Its functional features include efficient transfer, automated integration, and workflow optimization, making it suitable for manufacturing, packaging, logistics, and assembly applications. Driven by motorized rollers, the belt reliably moves items from one end to the other, improving operational efficiency and reducing manual labor—especially ideal for takt-based production and flexible manufacturing systems.
Visual Features: Visually, the conveyor features a blue metal frame paired with a black rubber belt, offering strong industrial visibility. The frame is typically made of powder-coated steel or anodized aluminum, ensuring structural strength and corrosion resistance. The belt surface is made of anti-slip rubber, adaptable to various material types. The overall structure is clean and stable, with round bases on each leg for easy installation and leveling, reflecting a practical and modular design philosophy.","(-0.9710000157356262, -2.0002000331878667, -5.526246235794396e-16)","(0.9133999943733215, 2.000600099563598, 1.4988000392913827)"
Conveyor,Conveyor.a.1,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Conveyor/conveyor1.usdz,"Shape:circular
Directionality:two-way
DNA:D_{C}(f)","Functional Features: This object is a modular roller conveyor system designed for efficient material handling in industrial and logistics environments. Its primary function is to transport goods—such as packages, components, or materials—along a predefined path within warehouses, manufacturing plants, or distribution centers. The system includes both straight and curved segments, allowing it to adapt to complex spatial layouts and direct items to various destinations. It is particularly useful in automated or semi-automated workflows, improving throughput and reducing manual labor.
Visual Features: Visually, the conveyor system features a robust blue-painted metal frame that supports a series of cylindrical rollers. These rollers are typically made of stainless steel or coated metal, offering durability and low-friction movement. The surface treatment appears to be powder-coated for corrosion resistance and aesthetic uniformity. The color scheme—primarily industrial blue with metallic silver rollers—conveys a clean, professional, and functional design suited for high-traffic operational settings.","(-0.053928943214394204, 0.08333332178757678, -1.617310964760176e-08)","(0.09097689414233374, 0.2938430757043922, 0.012283596185617978)"
Conveyor,Conveyor.a.2,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Conveyor/ConveyorBelt_A60_PR_NVD_01.usdz,"Shape:straight
Directionality:two-way
DNA:D_{C}(g)","Functional Features:This object is a modular conveyor system designed for efficient material handling in warehouses, manufacturing plants, assembly lines, and sorting centers. Its functional features include an L-shaped configuration that integrates both roller conveyor sections and belt conveyor segments. The rollers enable gravity-fed movement of items, while the powered belt sections allow for controlled transport, accommodating various types of goods. The system is supported by sturdy legs and cross braces, ensuring structural stability and load-bearing capacity. Its modular design allows for flexible reconfiguration based on operational needs.
Visual Features:Visually, the conveyor system features a blue metal frame paired with silver rollers and black belts, creating a strong industrial contrast. The frame is made of high-strength metal with a powder-coated finish, offering excellent resistance to corrosion and wear—ideal for demanding environments. The overall structure is clean-lined and compact, emphasizing functionality, durability, and ease of maintenance. This system is a vital component in modern smart manufacturing and automated logistics operations.","(-0.07404174804687501, -4.0000830078125, 0.0)","(2.9530242919921874, 3.96728515625e-05, 2.3109524536132815)"
Conveyor,Conveyor.b.5,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Conveyor/model_conveyor_belt.usdz,"Shape:straight
Directionality:two-way
DNA:D_{C}(h)","Functional Features:This object is a roller conveyor, whose core function is to realize continuous and efficient transportation of goods through the rolling of rollers, greatly reducing manual handling intensity. It is suitable for scenarios such as logistics warehousing, e-commerce sorting, factory production lines, and express transfer stations, used for the transfer and sorting of regular goods like cartons and pallets. It features simple structure, convenient maintenance, flexible splicing and extension, and adaptability to gravity or powered transportation. The side guardrails prevent goods from slipping and ensure transportation stability. 
Visual Features:Visually, it has a long strip structure with neatly arranged white rollers, a striking color scheme of red frame and gray support, metal material with anti-rust spray treatment, regular and concise shape. The grid lines in the 3D modeling background reflect its digital asset attribute, and the overall style conforms to the practical design of industrial automation equipment.","(-5.611, -0.327024, 0.0048708)","(5.646000011639111, 0.2709759899864197, 0.5798760304489742)"
Conveyor,Conveyor.b.6,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Conveyor/model_conveyor_belt1.usdz,"Shape:straight
Directionality:two-way
DNA:D_{C}(i)","Functional Features:This object is a short-length roller conveyor. Its core function is to realize efficient short-distance transfer, station docking and temporary buffering of goods through roller rotation, which can greatly reduce the manual handling load and improve material circulation efficiency. It is mainly applied in scenarios such as material transfer between stations of factory production lines, end docking of sorting lines in e-commerce warehouses, small parcel diversion and loading/unloading assistance in express outlets, and is compatible with regular goods like cartons and pallets. It features modular spliceability, stable structure, convenient maintenance and strong load-bearing capacity, and the single-side guardrail prevents goods from slipping to ensure safety during conveying. 
Visual Features:Visually, the equipment has a regular long strip structure with silver-gray rollers arranged in parallel at equal intervals. The frame adopts a classic industrial color scheme of industrial red and dark gray, the metal surface is treated with matte anti-rust spraying, with a tough and concise shape. The grid lines of the 3D modeling background highlight its digital asset attribute, and the overall design conforms to the practical attributes of industrial automation equipment.","(-1.15, -0.4416571398147982, 0.0)","(1.1664000000283123, 0.35954467990849476, 0.5750399784650422)"
Conveyor,Conveyor.b.7,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Conveyor/model_conveyor_belt2.usdz,"Shape:straight
Directionality:two-way
DNA:D_{C}(j)","Functional Features:This object is a medium-length roller conveyor. Its core function is to realize long-distance, continuous and efficient transportation of goods through roller rotation, which can greatly reduce manual handling load and improve material circulation efficiency. It is mainly used for the transfer, sorting and production line docking of regular goods such as cartons, pallets and turnover boxes, and is widely applied in scenarios including e-commerce warehousing and sorting centers, factory automated production lines, express transfer stations, and logistics loading and unloading platforms. It features modular spliceability, stable structure with strong load-bearing capacity, and convenient maintenance. The single-side guardrail can effectively prevent goods from slipping, ensure the stability and safety of the conveying process, and adapt to both gravity and powered conveying modes to flexibly meet the layout needs of different production lines.
Visual Features:Visually, the equipment is a regular long-strip industrial structure with silver-gray rollers arranged in parallel at equal intervals. The frame adopts a classic industrial color scheme of bright red side panels and dark gray metal brackets, the metal surface is treated with matte anti-rust spray coating, with a tough and concise shape. The black grid background of the 3D modeling highlights its digital asset attribute, and the overall design conforms to the practical attributes of industrial automation equipment.","(-0.41369109967068435, -1.8024009554682383, 0.0)","(0.3875088906539917, 1.6588001089068976, 0.5750189069853353)"
