Assets Type,Path,Tag,Description
Vehicle,/media/simple/another_Documents/isaacsim_assets/assets/UR__Cobot_Mir_AMR/UR__Cobot_Mir_AMR.usdc,"Model: UR3e+Custom AGV
Manufacturer:    Universal Robots 
Function:Picking,Transporting
DNA:DB(a)
Scale:0.01","Functional Features: This device is an autonomous mobile manipulation robot (AGV) equipped with a UR3e robotic arm, featuring integrated “movement + picking” functions. It is used for material distribution in intelligent manufacturing, precision component sorting in electronic production lines, small item transfer in warehousing and logistics, and robot technology training in scientific research and education. Its application scenarios include automotive manufacturing workshops, electronic factory production lines, and university laboratories. It can efficiently complete picking and transporting tasks that require mobile operations, enhancing the flexibility of automated processes.
Visual Features: The AGV body is light gray with four green modules on the top; the robotic arm is mainly silver-gray, with light blue decorations at the joints. The material combines industrial plastic and metal, with a smooth and matte surface finish. The overall design is concise and modern, and the black background highlights its sense of technology and the professionalism of industrial products."
Vehicle,/media/simple/another_Documents/isaacsim_assets/assets/AGV_ready_1/AGV_ready_1.usdc,"Model: Custom Industrial Transport AGV
Manufacturer:   Self-made
Function:Transporting
DNA:DB(b)
Scale:1","Functional Features: This object is a self-made industrial transport AGV, mainly used for transporting. It is designed to autonomously navigate and transport pallets, large materials, etc. in industrial workshops and warehousing logistics scenarios, improving material flow efficiency and reducing manual handling costs. Its application scenarios include parts distribution in automobile manufacturing workshops and cargo transfer in e-commerce warehouses, suitable for industrial environments requiring automated handling, and capable of stably completing repetitive handling tasks.
Visual Features: The main body is eye-catching yellow, with a black top carrying area, front protective structure, and red details. The material combines industrial plastic and metal, with a smooth and hard surface finish. The yellow appearance is highly recognizable against the black background, and the overall design highlights the practicality and warning nature of industrial equipment."
Vehicle,/media/simple/another_Documents/isaacsim_assets/Assets/Isaac/4.5/Isaac/Props/Forklift/forklift.usd,"Model: forklift-type AGV
Manufacturer:   Self-made
Function:Transporting, Lifting
DNA:DB(c)
Scale:1","Functional Features: This object is a forklift-type AGV, featuring transporting and lifting functions. It is used for automated loading, unloading and transporting of pallets and heavy objects in warehousing logistics and industrial workshops, replacing manual labor in high-load material handling operations. Its application scenarios include cargo stacking in e-commerce warehouses and parts transfer in automobile factories. It can efficiently complete tasks such as lifting, stacking and long-distance transporting of goods, improving the automation efficiency of warehousing logistics.
Visual Features: The main body is mainly yellow and black. The material is a combination of industrial metal and plastic, and the surface treatment shows the solid texture of metal and the protective properties of plastic. The overall design conforms to the classic style of industrial forklifts. The yellow and black color scheme is highly recognizable against the black background, highlighting the practicality and warning nature of the industrial equipment."
Vehicle,/media/simple/another_Documents/isaacsim_assets/Assets/Isaac/5.0/Isaac/Robots/Clearpath/RidgebackFranka/ridgeback_franka.usd,"Model: AUBO-i5
Manufacturer:  AUBO Robotics 
Function:Transporting
DNA:DB(d)
Scale:1","Functional Features:This is an integrated mobile manipulation robotic system, combining a differential-drive mobile base with a collaborative robotic arm. Its functional features include autonomous navigation, obstacle avoidance, and path planning, along with manipulation tasks such as grasping, transporting, assembling, and inspecting. It is widely used in smart manufacturing, lab automation, educational research, and warehouse logistics—especially in environments requiring flexible deployment, limited space, or dynamic tasking. With sensor integration and open control interfaces, it also serves as a valuable platform for algorithm testing and human-robot interaction studies.
Visual Features:Visually, the system presents a compact and coordinated design. The base features a black and yellow color scheme, with a prominent yellow front panel and red-white safety markings for visibility and operational safety. The chassis is made of metal and industrial-grade plastic, with a matte and coated finish for durability and a clean industrial look. The robotic arm is matte white with gray metallic joints, featuring smooth contours and rounded edges that reflect a modern, user-friendly collaborative design."
Vehicle,/media/simple/another_Documents/isaacsim_assets/Assets/Isaac/5.0/Isaac/Robots/Idealworks/iwhub/iw_hub.usd,"Model: idealworks Hub
Manufacturer:  Idealworks
Function:Transporting
DNA:DB(e)
Scale:1","Functional Features:This is an industrial-grade Automated Guided Vehicle (AGV) developed by Idealworks, model iw.hub, designed for smart manufacturing and warehouse automation. Its functional features include autonomous material transport, line-side delivery, and multi-vehicle coordination. It is suitable for use in factory floors, logistics hubs, and healthcare facilities where efficient material flow is essential. The iw.hub  supports various navigation methods such as QR code tracking, LiDAR-based SLAM, and visual navigation. It integrates seamlessly with MES/WMS systems for task scheduling and route optimization. Its flat-top design allows for flexible payload configurations, including shelves, pallets, or custom modules.
Visual Features:Visually, the AGV features a high-visibility industrial color scheme with blue and yellow tones, enhancing safety and recognition in busy environments. The top surface displays clear warning signs like “No Forklifts” and “Do Not Step,” emphasizing operational safety. The chassis is compact and likely constructed from metal and high-strength plastic, with a coated and scratch-resistant finish for durability. The front panel includes control buttons and status indicators, supporting manual interaction and real-time monitoring. The overall design reflects robustness, modularity, and industrial-grade reliability."
Vehicle,/media/simple/another_Documents/isaacsim_assets/Assets/Isaac/5.0/Isaac/Robots/iRobot/Create3/create_3.usd,"Model: Create® 3
Manufacturer:   iRobot 
Function:Transporting
DNA:DB(f)
Scale:1","Functional Features:This is the Create® 3 mobile robot platform developed by iRobot, designed for robotics education, research, and algorithm development. Its functional features include differential drive, autonomous navigation, obstacle detection, and full ROS 2 support. It is ideal for university courses, SLAM experiments, path planning research, and multi-robot simulations. With open APIs and sensor integration options, Create 3 enables flexible customization and is widely used as a foundational platform for indoor autonomous mobility tasks. While not built for industrial payloads, it excels in lightweight, educational, and prototyping applications.
Visual Features:Visually, the robot features a classic circular form with a dark gray and black color scheme. The top is slightly raised, housing sensor modules and control buttons. The chassis is made of high-strength plastic with a matte finish, offering durability and scratch resistance. A soft bumper ring surrounds the edge for collision detection and protection. Its compact, low-profile design allows agile movement in tight spaces, reflecting a practical, extensible, and education-friendly aesthetic."
Vehicle,/media/simple/another_Documents/isaacsim_assets/Assets/Isaac/5.0/Isaac/Robots/IsaacSim/ForkliftB/forklift_b.usd,"Model: Electric Forklift
Manufacturer:   Self-made
Function:Transporting, Lifting
DNA:DB(g)
Scale:1","Functional Features:This is an electric forklift model designed for industrial logistics and warehouse automation, offering efficient material handling and stacking capabilities. Its functional features include front dual forks for pallet transport, load lifting, and transfer tasks, making it ideal for warehouses, production lines, and distribution centers. The compact structure allows agile operation in narrow aisles, while the electric drive system ensures low noise and zero emissions—perfect for indoor environments. In simulation platforms like Isaac Sim, it is commonly used for developing autonomous forklift algorithms, path planning, obstacle avoidance, and digital twin logistics validation.
Visual Features:Visually, the forklift features a bold blue-and-black color scheme with a robust industrial form. The chassis is primarily constructed from metal with a coated finish for durability and corrosion resistance. The front forks are silver-gray metal, designed for load-bearing and pallet insertion. The body is marked with the “ATLAS” logo for brand visibility. The operator area includes control handles and a protective overhead frame, reflecting a design focused on both safety and functionality."
Vehicle,/media/simple/another_Documents/isaacsim_assets/Assets/Isaac/5.0/Isaac/Props/Dolly/dolly.usd,"Model: Dolly
Manufacturer:   Self-made
Function:Transporting
DNA:DB(h)
Scale:1","Functional Features:This is a typical industrial four-wheeled dolly, designed for material handling and short-distance transport tasks. Its functional features include a simple structure, strong load-bearing capacity, and flexible maneuverability, making it suitable for warehouses, production lines, and distribution centers. It can be manually operated or serve as a mobile platform for automated systems such as AGVs or robotic arms, used to carry pallets, containers, or components. In simulation environments, it is often used as an interactive object for testing path planning, obstacle avoidance, grasping, and stacking algorithms, contributing to realistic industrial logistics scenarios.
Visual Features:Visually, the dolly features a striking industrial blue finish for enhanced visibility in workspaces. The frame is a rectangular metal structure with corner loops or stacking guides for securing loads or nesting multiple units. It is equipped with four swivel caster wheels—metal-framed with rubber or polyurethane treads—for smooth and agile movement. The body is made of steel or aluminum alloy, with a coated surface that offers durability and corrosion resistance. The overall design emphasizes practicality, stability, and long-term durability under frequent use."
Vehicle,/media/simple/another_Documents/isaacsim_assets/Assets/Isaac/5.0/NVIDIA/Assets/DigitalTwin/Assets/Warehouse/Equipment/Forklifts/Forklift_A/Forklift_A01_PR_V_NVD_01.usd,"Model: L10
Manufacturer:   Linde
Function:Transporting, Lifting
DNA:DB(i)
Scale:0.01","Functional Features:Based on the image, the object is an electric walk-behind pallet stacker designed for palletized load handling, lifting, and stacking over short distances. Its primary function is to support efficient material transfer between ground level and low-to-medium-height storage positions. Typical application scenarios include indoor logistics environments such as warehouses, manufacturing workshops, distribution centers, and retail backrooms. The walk-behind operation mode enables precise maneuvering in narrow aisles and confined spaces, making the equipment suitable for scenarios requiring frequent starts, stops, and accurate positioning, including human–automation collaborative logistics systems.
Visual Features:Visually, the equipment features a compact and vertically oriented structure composed of a mast, dual forks, and a drive unit at the base. The dominant color is black, complemented by blue accent panels that visually distinguish functional components. The forks and mast are likely made of high-strength steel with matte-painted or powder-coated surface treatments to enhance durability and corrosion resistance. Exterior covers appear to be metal or engineering plastics with smooth, understated finishes, giving the machine a robust, professional, and industrial aesthetic."
Vehicle,/media/simple/another_Documents/isaacsim_assets/Assets/Isaac/5.0/NVIDIA/Assets/DigitalTwin/Assets/Warehouse/Equipment/Forklifts/Forklift_B/Forklift_B01_PR_V_NVD_01.usd,"Model:  Counterbalance Forklift
Manufacturer:   Self-made
Function:Transporting, Lifting
DNA:DB(j)
Scale:0.01","Functional Features:The object shown in the image is an electric reach truck designed for pallet handling, stacking, and high-level storage operations in warehouse logistics systems. Its primary function is to transport palletized goods efficiently between ground level and medium-to-high rack positions within narrow aisles. This type of equipment is widely used in automated warehouses, high-density storage facilities, distribution centers, and smart manufacturing workshops. In simulation and digital twin environments, it is commonly employed for forklift navigation, task scheduling, human–machine collaboration studies, and the validation of autonomous control and perception algorithms. The reach mechanism allows the forks to extend forward without moving the entire vehicle, improving flexibility and safety during high-rack operations.
Visual Features:Visually, the forklift features a compact yet vertically oriented structure, consisting of a tall mast, extendable forks, and an integrated vehicle body. The dominant color scheme includes dark gray and black, complemented by a bright yellow side panel that enhances visibility and conveys industrial safety cues. The mast and forks are made of metal with matte-painted or powder-coated surface finishes to improve durability and corrosion resistance. Exterior panels appear smooth and minimal, likely made of engineering plastics or coated metal, giving the equipment a robust, functional, and professional industrial appearance suitable for simulation-oriented digital assets."
