﻿Assets Type,Path,Tag,Description,bbox_min_meters,bbox_max_meters
Workbench,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Workbench/LabWorkbench_A06_01.usdz,DNA:D_{D}(a),"Functional Features: This object is an industrial workbench with a storage rack, used to provide an operating surface and storage space for scenarios such as industrial assembly, electronic maintenance, and laboratory operations. It can place tools and components, and the upper storage rack can also classify and store materials or appliances. Its application scenarios include component assembly stations in electronic workshops, precision instrument maintenance areas, and scientific research laboratory operation platforms. It can meet the bearing and storage needs during operations, improving operational convenience and space utilization.
Visual Features: The main body is made of silver-gray metal, with a smooth surface and metallic luster. The overall design is concise and practical. The hollow structure of the upper storage rack and the lower paper roll device add functional details. The silver-gray appearance against the black background highlights the professionalism and neatness of industrial equipment.","(-0.7500196075439454, -0.4537937545776367, -2.9802322387695313e-10)","(0.7500196838378906, 0.4537935638427735, 1.7195257568359374)"
Workbench,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Workbench/Mounts/table.usdz,"DNA:D_{D}(b)
","Functional Features:This is a modular mobile platform combining a wheeled base with an aluminum profile support structure, commonly used in robotics experiments, sensor deployment, educational demonstrations, or automated testing. Its functional features include high mobility, structural expandability, and integration capability for devices such as cameras, LiDARs, robotic arms, or other sensors. It is suitable for indoor navigation, data collection, and human-robot interaction testing. The platform includes side handles and a top cutout for easy equipment installation and maintenance, and it aligns with simulation environments like Isaac Sim for coordinate mapping and control algorithm validation.
Visual Features:Visually, the platform consists of a matte black rectangular base made of metal or composite material, offering a durable and industrial appearance. It is equipped with four swivel caster wheels for smooth movement on flat surfaces. Side handles enhance portability. The attached L-shaped frame is built from silver-gray aluminum extrusion profiles, secured with standard corner brackets, providing excellent modularity and expansion potential. The overall design emphasizes structural stability and functional flexibility, making it a versatile foundation for research, education, and engineering development.",,
Workbench,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Workbench/PackingTable.usdz,DNA:D_{D}(c),"Functional Features:This is an industrial-grade packing table, commonly used in warehouses, assembly lines, laboratories, and manufacturing workstations. Its functional features include providing a sturdy and stable surface for tasks such as sorting, packaging, assembly, and inspection. The lower dual-shelf design offers convenient storage for tools, materials, or in-process items, enhancing workflow efficiency and space utilization. With a robust structure, it is well-suited for high-frequency, heavy-duty industrial environments and can also serve as a base for robotic workstations or collaborative setups.
Visual Features:Visually, the table is constructed entirely from metal with a dark gray or black powder-coated finish, offering excellent wear and corrosion resistance. The tabletop is flat and rectangular with rounded edges for safe handling and easy cleaning. The four legs are thick and reinforced, with wide footpads to ensure ground stability. The lower shelf is made of metal panels with a central support beam to increase load capacity. The overall design emphasizes practicality, modularity, and industrial durability, making it ideal for demanding operational settings.","(-0.01236823245059924, -0.003809999762251978, 0.0)","(0.01236823245059924, 0.003809999762251978, 0.009940513388652053)"
Workbench,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Workbench/DeluxePackingTable_A01_01.usdz,DNA:D_{D}(d),"Functional Features:This object is a professional packing workstation, commonly used in warehouses, logistics centers, e-commerce fulfillment, and manufacturing settings. Its primary function is to provide an efficient and organized platform for packing operations. The station features a sturdy stainless steel worktable with foldable legs for easy mobility and storage. Above the table are two horizontal dispensers for kraft paper or similar materials, allowing quick access and cutting. A top shelf with multiple vertical dividers is designed for organizing packing supplies like boxes, labels, or tape. Additionally, a large roll of packing material is mounted below the table for convenient use, emphasizing functionality and space efficiency.
Visual Features:Visually, the workstation presents a sleek industrial look with a silver-gray color scheme. The stainless steel construction offers corrosion resistance and easy maintenance, ideal for high-frequency use. Its smooth surface and rounded edges enhance both safety and aesthetics. The overall design is clean and modular, supporting adaptability for various operational needs.","(-1.2191999816894532, -0.4873948097229004, 0.0)","(1.2191999816894532, 0.48739280700683596, 1.931273193359375)"
Workbench,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Workbench/HeavyDutyPackingTable_A01_01.usdz,DNA:D_{D}(e),"Functional Features:This object is a robust, multifunctional workbench designed for a variety of tasks such as crafting, food preparation, or mechanical repair. It features a spacious wooden tabletop supported by a metal frame, combining practicality with durability. The smooth surface is ideal for detailed work or tool placement, while the lower metal shelf offers convenient storage for frequently used items. This type of table is commonly found in workshops, kitchens, and laboratories where a stable and versatile work surface is essential.
Visual Features:Visually, the table showcases a contrast between natural wood tones and industrial gray metal, creating a modern industrial aesthetic. The wooden top is polished and smooth, offering a warm texture and easy maintenance. The metal components are likely treated with anti-rust coating or powder finish, enhancing durability and safety. The overall design is clean and well-proportioned, balancing functionality with visual appeal, making it suitable for various interior settings.","(-0.93344970703125, -0.6097406768798829, 0.0)","(0.93344970703125, 0.6097406005859375, 0.9940522766113281)"
Workbench,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Workbench/HeavyDutyPackingTable_C03_01.usdz,DNA:D_{D}(f),"Functional Features:This object is a stainless steel work table known for its durability and hygienic properties, making it ideal for use in industrial kitchens, laboratories, and workshops. Its functional design features a spacious, flat top surface suitable for food preparation, scientific experiments, or mechanical assembly. A lower open shelf provides additional storage for tools, utensils, or materials, enhancing workspace organization. The four square metal legs offer excellent stability and load-bearing capacity, ensuring reliable performance under heavy-duty use.
Visual Features:Visually, the table has a sleek silver-gray appearance that reflects a modern industrial aesthetic. The stainless steel construction provides a clean, metallic sheen and resists corrosion and rust, making it suitable for long-term use. The surface is likely brushed or polished, offering a smooth texture that is easy to clean and maintain—ideal for sanitary environments. The overall form is straightforward and professional, emphasizing functionality and adaptability in demanding work settings.","(-0.9334500122070313, -0.6096000671386719, 0.0)","(0.9334500122070313, 0.6095999908447266, 0.9940528106689454)"
Workbench,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Workbench/IndustrialPackingTable_A04_01.usdz,DNA:D_{D}(g),"Functional Features:This object is a heavy-duty multifunctional workbench, commonly used in workshops, garages, and industrial settings for tasks such as assembly, repair, or sanding. Its functional features include a spacious wooden tabletop that provides a solid and impact-resistant work surface, and a lower metal shelf for storing tools, components, or materials—enhancing efficiency and space utilization. The metal legs have perforations, likely for height adjustment or securing the bench, adding flexibility and safety to its use.
Visual Features:Visually, the workbench reflects a modern industrial aesthetic. The wooden top is a light natural brown, polished for a smooth texture and easy maintenance. The metal frame is dark gray or black, likely treated with powder coating or anti-rust finish to improve durability and corrosion resistance. The overall design is clean and well-proportioned, balancing functionality with visual appeal, making it suitable for a variety of industrial or maker environments.","(-1.2199141693115234, -0.38100006103515627, 0.0)","(1.2199141693115234, 0.38099998474121094, 0.9398019409179688)"
Workbench,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Workbench/IndustrialPackingTable_B05_01.usdz,DNA:D_{D}(h),"Functional Features:This object is a heavy-duty industrial-style workbench designed for demanding work environments such as workshops, laboratories, repair stations, or manufacturing facilities. Its functional features include a robust metal frame and a spacious, flat work surface ideal for assembly, maintenance, or testing tasks. A secondary shelf beneath the main tabletop provides additional storage for tools, components, or materials, enhancing workspace efficiency. The legs feature evenly spaced holes, likely for height adjustment or floor anchoring, offering flexibility and improved safety.
Visual Features:Visually, the workbench has a dark gray tone that conveys a strong industrial aesthetic. The work surface is solid and smooth, making it easy to clean and maintain—suitable for high-frequency use. The metal frame is treated with powder coating or anti-corrosion finish, ensuring durability and resistance to wear. The overall design is straightforward and functional, with clean lines and a focus on structural stability, making it a fitting addition to modern technical or industrial environments.","(-1.2199141693115234, -0.4432701110839844, 0.0)","(1.2199141693115234, 0.44327239990234374, 0.9397982025146484)"
Workbench,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Workbench/IndustrialPackingTable_D03_01.usdz,DNA:D_{D}(i),"Functional Features:This object is a robust, multifunctional workbench commonly used in workshops, garages, laboratories, and industrial settings. Its functional features include a spacious wooden top suitable for assembly, repair, sanding, or measuring tasks. A metal shelf beneath the tabletop provides convenient storage for tools or materials, improving operational efficiency. The metal legs are equipped with multiple adjustment holes, allowing for height customization or secure anchoring, enhancing flexibility and safety for various work environments.
Visual Features:Visually, the workbench combines natural wood tones with industrial gray metal, creating a modern, utilitarian aesthetic. The top is constructed from multiple wooden strips, giving it a butcher-block appearance. It is polished and likely sealed for durability and a smooth finish. The metal frame is treated with powder coating or anti-rust finish, offering a sleek surface and long-term corrosion resistance. The overall design is clean and well-proportioned, balancing functionality with visual appeal, making it suitable for a range of technical or maker spaces.","(-0.7627141571044922, -0.4432701110839844, 0.0)","(0.7627141571044922, 0.44327239990234374, 0.9397983551025391)"
Workbench,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Workbench/TableMetal_A02_01.usdz,DNA:D_{D}(j),"Functional Features:This object is a multifunctional workstation designed for use in laboratories, electronics assembly areas, educational settings, or light industrial environments. Its functional features include a spacious blue tabletop suitable for precision tasks, assembly, or documentation. Above the work surface are multiple storage shelves with vertical dividers, ideal for organizing documents, tools, or components for quick access. Below the tabletop are three open compartments that provide additional storage, helping maintain a clean and organized workspace. The overall structure is sturdy and built for frequent, long-term use.
Visual Features:Visually, the workstation features a modern and professional aesthetic with a blue and metallic gray color scheme. The blue work surface is made of a composite material that is smooth, durable, and easy to clean. The frame is constructed from metal and treated with powder coating or anti-rust finish, enhancing its durability and structural integrity. The design emphasizes functionality and modularity, with clean lines and balanced proportions, making it well-suited for efficient and organized work environments.","(-0.4332518768310547, -1.0305825805664062, 0.0)","(0.4332518768310547, 1.0305825805664062, 2.3556691846251487)"
