Assets Type,Path,Tag,Description
Pallet,/media/simple/another_Documents/isaacsim_assets/Assets/Isaac/4.5/Isaac/Props/Pallet/pallet.usd,"DNA:DG(a)
Scale:1","Functional Features: This object is a wooden pallet, used for carrying, stacking and transporting goods. It can be used for containerizing, stacking, handling and transporting goods, facilitating the operation of forklifts, pallet trucks and other equipment. Its application scenarios include cargo stacking in warehousing and logistics, container cargo transfer in ports and terminals, and raw material and finished product turnover in industrial production. It can improve the efficiency of cargo loading, unloading and storage, and is a key tool for realizing unitized management of goods in the logistics supply chain.
Visual Features: The main body is light wood color, made of wood, with a surface treatment that retains the natural texture of wood. It is a rectangular pallet made by splicing multiple wooden boards, with a supporting structure at the bottom. The overall design is concise and practical, and the light wood color appearance against the black background is simple, highlighting its sturdiness and versatility as a carrying tool."
Pallet,/media/simple/another_Documents/isaacsim_assets/Assets/Isaac/4.5/Isaac/Props/Pallet/pallet_holder.usd,"DNA:DG(b)
Scale:1","Functional Features: This object is an industrial transfer cart, used for material handling and transfer in scenarios such as workshops and warehouses. It can load tools, components, small equipment, etc. The equipped wheels facilitate flexible movement, and the special structure can limit and fix the loaded items. Its application scenarios include parts distribution in automobile workshops, material turnover in electronic factories, and short-distance cargo transportation in warehousing centers. It can improve the efficiency of material handling, reduce the labor intensity of manual handling, and is a convenient transfer tool in industrial production and warehousing.
Visual Features: The main frame is blue, matched with silver-gray components. The material is metal (frame) and plastic (wheels), with a surface treatment that shows the solid texture of metal. The coating is uniform and wear-resistant. The structural design is concise and functional, with movable wheels. The blue-silver color scheme against the black background is eye-catching, highlighting its professionalism and practicality as a transfer device."
Pallet,/media/simple/another_Documents/isaacsim_assets/Assets/Isaac/4.5/Isaac/Props/Pallet/pallet_holder_short.usd,"DNA:DG(c)
Scale:1","Functional Features: This object is a short pallet holder cart, used for handling and storage management of pallets in warehousing and logistics scenarios. It can store pallets neatly and transfer them conveniently, with equipped wheels for flexible movement. Its application scenarios include pallet organization in small warehouses, short-distance pallet turnover in logistics stations, and temporary pallet transportation in production workshops. It can improve the storage utilization and handling efficiency of pallets, and is a flexible and practical tool in pallet management.
Visual Features: The main frame is light blue, made of metal, with a surface treatment that shows the solid texture of metal and uniform coating. The structural design is compact and concise, with movable wheels and pallet support structures. The light blue appearance against the black background is eye-catching, highlighting its functionality and practicality as a pallet transfer device."
Pallet,/media/simple/another_Documents/isaacsim_assets/Assets/new/Industrial_NVD@10012/Assets/ArchVis/Industrial/Pallets/Pallet_A1.usd,"DNA:DG(d)
Scale:0.01","Functional Features:This is a standard wooden pallet widely used in warehousing, logistics, loading, and transportation for supporting, stacking, and moving various goods. Its functional features include a sturdy structure, high compatibility, and ease of handling with forklifts and pallet jacks. It is suitable for automated storage systems and containerized shipping. The top surface consists of multiple wooden planks, while the bottom features block supports that provide elevation and ventilation. Markings such as “SAFETY” and serial numbers indicate compliance with safety and traceability standards, and the pallet is recyclable, supporting sustainable logistics.
Visual Features:Visually, the pallet is made of natural wood in a light brown tone, with an untreated surface that retains its raw grain texture. It follows a typical nine-block design, with evenly spaced top planks and neatly aligned edges. Black printed text and symbols on the sides and blocks enhance traceability and operational clarity. The overall design is simple and functional, emphasizing load-bearing capacity, versatility, and environmental responsibility—making it a fundamental tool in modern logistics operations."
Pallet,/media/simple/another_Documents/isaacsim_assets/Assets/new/Industrial_NVD@10012/Assets/ArchVis/Industrial/Pallets/Pallet_B1.usd,"DNA:DG(e)
Scale:0.01","Functional Features:This is a standard wooden pallet primarily used for logistics, warehousing, and material handling. Its functional features include a sturdy structure, high compatibility, and ease of use with forklifts and pallet jacks. It is suitable for industrial, manufacturing, retail, and supply chain applications. The pallet consists of multiple horizontal planks forming the load surface, supported by three vertical beams underneath, creating a stable three-way entry design for efficient mechanical handling and stacking. Stamped codes such as “DB CT 0790” and “1123 HT KD” indicate heat treatment and kiln drying, meeting international shipping standards and making it export-ready.
Visual Features:Visually, the pallet is made of natural wood in a light brown tone, with visible grain and signs of wear that reflect its utilitarian and industrial character. The surface is matte and unfinished, emphasizing practicality and recyclability. The structure is symmetrical and clean-lined, showcasing standardized manufacturing. The design prioritizes durability, versatility, and sustainability, making it a fundamental tool in modern logistics and a popular material for reclaimed wood DIY projects."
Pallet,/media/simple/another_Documents/isaacsim_assets/Assets/new/Industrial_NVD@10012/Assets/ArchVis/Industrial/Pallets/Pallet_C1.usd,"DNA:DG(f)
Scale:0.01","Functional Features:This is a standardized wooden pallet widely used in logistics, warehousing, material handling, and supply chain distribution. Its functional features include a sturdy structure, high compatibility, and ease of handling with forklifts and pallet jacks, making it ideal for stacking and transporting various goods. The pallet consists of multiple top deck boards and three bottom support beams, forming a stable three-way entry design for efficient mechanical handling. Markings such as “080 ETP-000” and a recycling symbol indicate that it is part of a reusable pallet system, supporting sustainability and compliance with modern logistics and export standards.
Visual Features:Visually, the pallet is made of natural light-colored wood with a matte finish, preserving the original grain and texture for a clean, utilitarian industrial look. The planks are evenly spaced with clean edges and a symmetrical structure, reflecting standardized manufacturing. Black printed codes enhance traceability and operational clarity. The overall design emphasizes durability, versatility, and environmental responsibility, making it a fundamental component in contemporary logistics operations."
Pallet,/media/simple/another_Documents/isaacsim_assets/Assets/new/SimReady_Warehouse_01_NVD@10010/Assets/simready_content/common_assets/props/recycledwoodpallet_a06/recycledwoodpallet_a06.usd,"DNA:DG(g)
Scale:1","Functional Features:This is a standard wooden pallet widely used in warehousing, logistics, transportation, and material handling. Its functional features include a sturdy structure, high compatibility, and easy handling with forklifts and pallet jacks, making it ideal for stacking, transferring, and container loading of various goods. The pallet consists of multiple top deck boards supported by blocks or stringers underneath, forming a three-way entry design for efficient mechanical access. It is suitable for automated storage systems and export logistics, serving as a fundamental unit in modern supply chains.
Visual Features:Visually, the pallet is made of natural light brown wood with a matte finish, preserving the original grain and texture for a clean, utilitarian industrial look. The boards are evenly spaced and neatly aligned, reflecting standardized manufacturing. The structure is symmetrical with clear lines, emphasizing functionality and durability. The pallet is unmarked, allowing for flexible labeling or custom coding, making it a versatile solution for various logistics and storage environments."
Pallet,/media/simple/another_Documents/isaacsim_assets/Assets/Isaac/5.0/NVIDIA/Assets/DigitalTwin/Assets/Warehouse/Shipping/Pallets/Metal/Aluminum_A/AluminumPallet_A01_PR_NVD_01.usd,"DNA:DG(h)
Scale:0.01","Functional Features:This object is an industrial pallet designed for use in warehousing, logistics, manufacturing, and transportation. Its functional features include a top surface composed of multiple horizontal slats and three longitudinal support beams underneath, forming a standard four-way forklift entry structure. This allows for efficient handling from any direction using forklifts or pallet jacks. The design supports stacking, loading, and circulation of goods, making it ideal for high-frequency operations in automated warehouses, assembly lines, and distribution centers.
Visual Features:Visually, the pallet has a gray tone and appears to be made of aluminum alloy or specially treated wood, with a metallic texture that conveys strength and durability. The structure is clean and symmetrical, emphasizing industrial functionality. The surface may be treated with sandblasting or anodizing to enhance corrosion resistance and wear durability, making it suitable for long-term use in demanding or humid environments. Overall, the pallet presents a modern and professional appearance, aligning with the standardization and durability requirements of smart manufacturing and logistics systems."
Pallet,/media/simple/another_Documents/isaacsim_assets/Assets/Isaac/5.0/NVIDIA/Assets/DigitalTwin/Assets/Warehouse/Shipping/Pallets/Metal/GalvanizedSteel_A/GalvanizedSteelPallet_A01_PR_NVD_01.usd,"DNA:DG(i)
Scale:0.01","Functional Features:This object is a metal pallet commonly used in warehousing, manufacturing, cold chain logistics, and heavy-duty transport scenarios. Its functional features include a robust grid-like structure with parallel metal slats on the top surface, offering excellent load-bearing capacity and allowing for airflow and drainage—ideal for storing goods that require ventilation or moisture control. The pallet has standard forklift entry points on all four sides, enabling efficient handling and maneuverability, especially in automated storage systems or high-turnover environments. Compared to wooden or plastic pallets, metal pallets are more durable and reusable, making them suitable for demanding and hygienic applications.
Visual Features:Visually, the pallet has a silver-gray appearance, made from aluminum alloy or galvanized steel. The surface is treated with sandblasting or anodizing, providing corrosion resistance and wear durability. The structure is clean and symmetrical, with evenly spaced slats that reflect a modern industrial aesthetic. Its overall look is sturdy and professional, emphasizing functionality and standardization—making it a key component in efficient, safe, and sustainable logistics operations."
Pallet,/media/simple/another_Documents/isaacsim_assets/Assets/Isaac/5.0/NVIDIA/Assets/DigitalTwin/Assets/Warehouse/Shipping/Pallets/Wood/Block_A/BlockPallet_A02_PR_NVD_01.usd,"DNA:DG(j)
Scale:0.01","Functional Features:This object is a standard wooden pallet widely used in warehousing, logistics, transportation, and material handling. Its functional features include a top surface made of multiple horizontal wooden slats that provide a stable platform for goods. The base consists of three longitudinal wooden beams, forming a four-way forklift entry design that allows for easy handling from any direction using forklifts or pallet jacks. This pallet is suitable for stacking, racking, and container loading, making it an essential component in modern supply chain operations.
Visual Features:Visually, the pallet has a light natural wood tone and is constructed from solid wood. The surface is sanded to preserve the wood’s natural grain and texture, giving it a clean and rustic appearance. The structure is simple and symmetrical, emphasizing practicality and standardization. The wood may be treated for drying, mold resistance, or pest control to enhance durability in humid or high-use environments. Overall, the pallet’s appearance and construction align with the functional and standardized demands of industrial logistics and storage systems."
