﻿Assets Type,InstanceID,Path,Tag,Description,bbox_min_meters,bbox_max_meters
IndustrialRobot,IndustrialRobot.a.1,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/IndustrialRobot/factory_franka_instanceable.usdz,"Model: Franka Research 3
Manufacturer:   Agile Robots(Franka)
DOF:  7
DNA:D_{A}(a)","Functional Features: This robotic arm is Franka Research 3 (FR3) with 7 degrees of freedom. It is versatile, used for researching robotic control algorithms in scientific fields, precise assembly and flexible operations in industrial scenarios, and assisting minimally invasive surgery training in the medical field. Its high flexibility and force control precision enable it to handle complex tasks, playing a role in laboratories, intelligent manufacturing production lines, medical teaching institutions, etc.
Visual Features: It is mainly white, with gray joint parts. The material has a texture combining industrial plastic and metal, and the surface treatment is smooth and delicate, featuring a sense of technology and practicality. The black background highlights its concise industrial design style.","(-0.15408560633659363, -0.12939199805259705, 0.0)","(0.18140526929199968, 0.1299348571300527, 1.1146631330062704)"
IndustrialRobot,IndustrialRobot.a.2,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/IndustrialRobot/ur10e_robotiq2f-140.usdz,"Model: UR10
Manufacturer:   Universal Robots
DOF:  6
DNA:D_{A}(b)","Functional Features: This robotic arm is UR10 with 6 degrees of freedom. It is used for material handling, precision assembly, welding, palletizing in industrial automation, and robot technology research in scientific fields. With a high payload (up to 10kg) and a long working range (1300mm), it is suitable for scenarios like automotive manufacturing, electronic production, logistics and warehousing, efficiently completing tasks with high repeatability and precision requirements.
Visual Features: It is mainly light gray, with light blue decorations at the joints. The material is a combination of industrial high-strength plastic and metal, with a smooth and somewhat matte surface finish. The overall design is concise and compact, and the black background highlights the sense of technology and professionalism of a modern industrial robot.","(-0.09498843635190676, -0.09500000711205893, -7.047290268707984e-13)","(1.2886536659615166, 0.4925446494618135, 0.27489929646253586)"
IndustrialRobot,IndustrialRobot.a.3,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/IndustrialRobot/xarm7.usdz,"Model: xarm7
Manufacturer:   UFactory
DOF:  7
DNA:D_{A}(c)","Functional Features: This robotic arm is xArm 7 with 7 degrees of freedom, and it is versatile. It can be used for precision assembly, material sorting, quality inspection in the industrial field; supports robot algorithm research and educational training in scientific research scenarios; and can also realize personalized services such as coffee making and commodity sorting in the commercial field. Its high flexibility and precise control ability make it suitable for intelligent manufacturing production lines, university laboratories, new retail stores and other application scenarios, and can efficiently complete various complex tasks.
Visual Features: It is mainly white. The material combines industrial plastic and metal, and the surface treatment is smooth and delicate, showing a concise and modern sense of technology. The black end gripper forms a visual contrast, and the overall design, set off by the black background, highlights the professionalism and delicacy of industrial products.","(-0.06299995630979538, -0.1089248887180702, -0.04164043851280971)","(0.2449088096618653, 0.11850232723277464, 0.6045015726423897)"
IndustrialRobot,IndustrialRobot.a.4,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/IndustrialRobot/robot.usdz,"Model: IRB
Manufacturer:   ABB
DOF:  6
DNA:D_{A}(d)","Functional Features: This object is an industrial robotic arm featuring a multi-joint structure with a gripper at the end, designed for tasks such as grasping, transporting, or assembling components. Its functional characteristics include high-precision and repeatable automated operations, making it ideal for applications like welding, assembly, material handling, and painting in manufacturing environments. The three-axis coordinate arrows (red, green, and blue) at the base represent the X, Y, and Z directions, indicating the robot’s capability for multi-axis movement and spatial manipulation—essential for complex path planning and 3D operations.
Visual Features: Visually, the robotic arm is bright yellow, enhancing visibility in industrial settings. It is likely constructed from a combination of high-strength metals and engineering plastics, balancing durability with weight efficiency. The surface is smooth, with some joints possibly treated with matte or anti-slip coatings for added resilience. The overall design is modern and compact, reflecting the precision and efficiency of contemporary automation systems.","(-0.0021702028218119874, 0.00020000004764646382, -0.0040435135759873285)","(0.0021702028218119874, 0.006732564957234959, 0.0039979123008570885)"
IndustrialRobot,IndustrialRobot.a.5,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/IndustrialRobot/Black_Honey_-_Robotic_Arm.usdz,"Model: KR 6 R700
Manufacturer: KUKA 
DOF:  6
DNA:D_{A}(e)","Functional Features: This robotic arm features a multi-joint structure and a mechanical gripper, designed for precise object handling and manipulation. It is widely used in automated production lines, smart manufacturing, assembly tasks, and laboratory automation. The articulated joints enable complex motion planning in 3D space, adapting to various process requirements. The compact gripper is ideal for handling small or delicate components, enhancing operational efficiency and consistency. QR codes and warning labels on the arm support operational identification and safety management.
Visual Features: Visually, the robotic arm adopts a striking orange-and-black color scheme, offering strong industrial identity and visual alertness. The casing is typically made of high-strength aluminum alloy or composite materials, balancing lightweight design with structural integrity. Surface treatments like coating or anodizing improve wear resistance and corrosion protection while enhancing the overall finish. The joints are compactly designed, and cables are neatly arranged, reflecting a high level of engineering integration and industrial aesthetics.","(-0.5678100482700582, -0.11363138938980204, -0.17527657699452526)","(0.24019788005443857, 2.1597172780173195, 0.18739963166564877)"
IndustrialRobot,IndustrialRobot.a.6,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/IndustrialRobot/INDUSTRIAL_ROBOTIC_ARM.usdz,"Model: CRX-5iA/10iA
Manufacturer: FANUC
DOF:  6
DNA:D_{A}(f)","Functional Features: The image shows an industrial robotic arm with multiple articulated joints and an end-effector (gripper), commonly used in automated manufacturing environments. Its functional characteristics include high-precision repeatability and flexible spatial motion, making it suitable for tasks such as assembly, material handling, welding, painting, and sorting. The arm’s jointed structure enables it to follow complex paths and integrate seamlessly into smart manufacturing systems, enhancing productivity, reducing labor costs, and improving operational consistency and safety.
Visual Features:Visually, the robotic arm is bright yellow, offering high visibility in industrial settings. It is likely constructed from high-strength alloy steel or aluminum alloy, balancing structural rigidity with weight efficiency. The surface is smooth, possibly treated with paint or anodizing to improve corrosion resistance and durability. The overall form is compact, with fluid joint transitions, reflecting a modern industrial design that emphasizes both functionality and engineering aesthetics.","(-0.38721394812517185, 0.001965034344528129, -0.3850283309709664)","(0.3937335624497397, 1.2673019131202496, 0.7419260789134292)"
IndustrialRobot,IndustrialRobot.a.7,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/IndustrialRobot/processed_Robotic_Manipulator_low_poly.usdz,"Model: Andrew+ Pipetting Robot
Manufacturer: Andrew Alliance
DOF:  6
DNA:D_{A}(g)","Functional Features: This object is a collaborative robotic arm equipped with a pipette end effector. Functionally, it is mainly used for precise liquid handling, with common application scenarios including sample pipetting in biological laboratories, reagent dispensing in chemical experiments, and fine material handling in industrial micro-assembly. It features flexible collaboration and high-precision operation, enabling safe co-working with personnel.
Visual Features:Visually, it adopts a white-yellow color scheme: white as the main body color and yellow for structural reinforced parts. The material shows a combination of plastic and metal texture, with smooth surface treatment and sci-fi-style line design. The base is a circular white pedestal, and the overall shape is compact and lightweight, conforming to the compact appearance of desktop equipment.","(-0.5869340896606445, -0.47574400901794434, -0.36367034912109375)","(0.5869340896606445, 0.47574400901794434, 0.36367034912109375)"
IndustrialRobot,IndustrialRobot.a.8,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/IndustrialRobot/panda_instanceable1.usdz,"Model: Franka Emika Panda
Manufacturer: Franka Emika
DOF:  7
DNA:D_{A}(h)","Functional Features: This robotic arm is the Franka Emika Panda, a high-precision, lightweight cobot designed for collaborative tasks. Its primary functions include assembly, gripping, insertion, testing, and educational demonstrations. It is widely used in smart manufacturing, research labs, training environments, and even medical assistance. With 7 degrees of freedom and sensitive force control, it excels in dynamic, human-centric environments where flexibility and precision are essential.
Visual Features:Visually, the arm features a sleek, modern design with a matte white finish and dark gray or black accents at the joints, giving it a clean and high-tech appearance. The outer shell is made from high-strength composite materials or aluminum alloy, with a smooth coated surface that enhances corrosion resistance and ease of maintenance. Its compact, rounded joints and minimalistic form emphasize safety and approachability, aligning with the ergonomic and aesthetic standards of collaborative robotics.","(-0.23795830679397856, -0.19420984314144807, -0.27866580337285995)","(0.2652779311449598, 0.19474964530348515, 1.3933288810864282)"
IndustrialRobot,IndustrialRobot.b.1,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/IndustrialRobot/A2D.usdz,"Model: Walker X
Manufacturer: UBTECH Robotics
DOF:  7
DNA:D_{A}(i)","Functional Features:This humanoid robot is a versatile service platform equipped with dual multi-joint arms and a mobile wheeled base, enabling it to adapt to dynamic environments and interact with humans. Its functional features include performing daily service tasks (e.g., object delivery, door operation, device manipulation), engaging in voice or gesture-based interaction, and supporting human-robot collaboration in research, exhibitions, and educational settings. With 7 degrees of freedom per arm and dynamic balance control, it excels in complex bimanual operations, making it suitable for smart homes, public services, and interactive demonstrations.
Visual Features:Visually, the robot presents a sleek, modern aesthetic with a high-contrast white and black color scheme, accented by red lines that enhance its tech-forward appearance. The outer shell is likely made of high-strength plastic or composite materials, finished with a matte surface to reduce glare and improve tactile quality. Its rounded, helmet-like head adds a friendly touch, while the claw-shaped hands emphasize functionality. The overall design is compact and harmonious, balancing safety, usability, and visual appeal for human-centered environments.","(0.10244527424577221, -0.6996712795424915, 4.787772330629209e-05)","(0.7024451788783406, 1.551862176366674, 1.304292818048489)"
IndustrialRobot,IndustrialRobot.a.9,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/IndustrialRobot/cobotta_pro_900.usdz,"Model: Cobotta Pro 900
Manufacturer: Denso
DOF:  6
DNA:D_{A}(j)","Functional Features:The robotic arm shown is the Cobotta Pro 900 by DENSO, a high-precision collaborative robot designed for industrial automation and human-robot interaction. Its functional features include six degrees of freedom for flexible motion, making it suitable for tasks such as assembly, inspection, material handling, and lab automation. The Cobotta Pro 900 supports integration with vision systems and force sensors, offering advanced path planning and fine manipulation capabilities. It is widely used in electronics manufacturing, medical device handling, and research environments. Its compact form and built-in safety features enable safe operation alongside human workers, enhancing collaborative productivity.
Visual Features:Visually, the arm features a clean, streamlined industrial design with a matte white body and dark gray or metallic joints, conveying a modern and professional appearance. It is constructed from high-strength aluminum alloy and engineering plastics, balancing lightweight structure with rigidity. The surface is treated with coating and anodizing processes for corrosion resistance and refined texture. The end effector resembles a claw, suitable for various gripping tasks. Its compact, rounded joints reflect a design philosophy centered on safety and ergonomic collaboration.","(-0.10300099849700928, -0.08448954849674928, -3.999999886872274e-09)","(0.08005990087985992, 0.2485371435338336, 1.537724138195048)"
IndustrialRobot,IndustrialRobot.a.10,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/IndustrialRobot/rs007l_onrobot_rg2.usdz,"Model: RS007L
Manufacturer: Kawasaki Robotics
DOF:  6
DNA:D_{A}(k)","Functional Features:This is the RS007L industrial robot arm developed by Kawasaki Robotics, a lightweight, high-speed 6-axis manipulator. Its functional features include high-precision handling, rapid assembly, fine manipulation, and repetitive inspection tasks. It is ideal for electronics manufacturing, medical device processing, food packaging, and lab automation. With a reach of 930 mm and repeatability of ±0.03 mm, the RS007L operates efficiently in compact spaces and supports integration with vision systems and end-effectors, making it suitable for flexible automation cells and collaborative workstations.
Visual Features:Visually, the arm features a clean, streamlined industrial design with a matte white body and gray or metallic joints, combining modern aesthetics with professional appeal. The structure is made from aluminum alloy and engineering plastics, with coated and anodized surfaces for corrosion resistance and refined texture. The joints are compact with internal cable routing, and the end includes a standard flange for quick tool changes. The overall form emphasizes lightweight construction and rigidity, reflecting the core traits of a high-performance industrial robot.","(-0.2591000231835047, -0.16999945345329878, -9.116831638580902e-13)","(0.12200001207319902, 0.14868347701952242, 1.5847721733152866)"
IndustrialRobot,IndustrialRobot.a.11,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/IndustrialRobot/ur10e_robotiq2f-140_ROS.usdz,"Model: UR10e
Manufacturer: Universal Robots
DOF:  6
DNA:D_{A}(l)","Functional Features:This is an industrial robotic system composed of the UR10e collaborative arm from Universal Robots and the 2F-140 two-finger gripper from Robotiq. It is widely used in automated assembly, material handling, packaging, machine tending, and quality inspection. The UR10e features 6 degrees of freedom, a maximum payload of 12.5 kg, and a reach of 1300 mm, making it suitable for handling medium to large parts. Its collaborative design allows safe operation alongside human workers. With ROS 2 support and industrial communication compatibility, it integrates easily into smart manufacturing and research environments. The Robotiq 2F-140 gripper offers adaptive gripping for objects of various shapes and sizes, enhancing flexibility and versatility.
Visual Features:Visually, the UR10e arm features a sleek silver-gray body with signature light blue joint covers, presenting a clean and modern industrial aesthetic. The structure is primarily aluminum alloy with anodized surfaces for corrosion resistance and rigidity. The gripper is dark gray, made from a combination of engineering plastics and metal, with a matte finish that emphasizes its functional design. The overall system reflects modularity, ease of integration, and safe collaboration—hallmarks of next-generation industrial robotics.
","(-0.09498843635190674, -0.0950000071120589, -7.047290268707984e-13)","(1.2899036659615166, 0.4982446494618135, 0.27489929646253586)"
IndustrialRobot,IndustrialRobot.b.2,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/IndustrialRobot/UR__Cobot_Mir_AMR.usdz,"Model: UR3e+Custom AGV
Manufacturer:    Universal Robots 
DOF：6
DNA:D_{A}(m)","Functional Features: This object is a mobile robot (AMR/AGV composite robot) equipped with a collaborative robotic arm. Its core function is to realize automated material handling, loading/unloading and flexible operations. It can autonomously navigate for point-to-point transfer, and the robotic arm can perform operations such as grasping, assembly and sorting, greatly improving production line flexibility and automation level. It is widely used in scenarios including intelligent manufacturing factories, warehousing and logistics centers, 3C electronic production lines, and pharmaceutical warehouses, adapting to flexible transfer and station connection of various materials. It features autonomous obstacle avoidance, path planning and multi-machine collaboration, and can flexibly adapt to dynamic production line layouts. 
Visual Features: Visually, it has a light gray integrated fuselage, with 4 green interactive panels on the top, a lightweight collaborative arm in white and blue, and a wheeled mobile chassis at the bottom. The whole body is made of matte plastic/metal with anti-slip and wear-resistant spraying, presenting a compact and concise shape. The 3D modeling grid background highlights its digital asset attribute, conforming to the design style of industrial intelligent equipment.","(-0.3759433990186962, -0.000516006290926796, -0.5061706756089248)","(0.29243276323900874, 1.192045943232052, 0.44943271787309697)"
IndustrialRobot,IndustrialRobot.b.3,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/IndustrialRobot/ridgeback_franka.usdz,"Model: Franka Emika Panda
Manufacturer: Franka Emika
DOF:  7
DNA:D_{A}(n)
","Functional Features:This object is a mobile composite robot (AGV/AMR) equipped with a multi-degree-of-freedom collaborative robotic arm. Its core function is to integrate autonomous mobile navigation and flexible operation capabilities. It can independently complete path planning, intelligent obstacle avoidance and point-to-point material transfer, and the robotic arm can perform operations such as precise grasping, sorting, loading/unloading and precision assembly, greatly improving the flexibility and automation level of the production line. It is widely used in scenarios including intelligent manufacturing factories, 3C electronic production lines, warehousing and logistics centers, and pharmaceutical clean workshops, adapting to flexible operations and station connection of various small materials, with core features of flexible deployment, safe human-machine collaboration and multi-scenario adaptability. 
Visual Features:Visually, it has a rounded wheeled mobile chassis with black and yellow color scheme, and a lightweight collaborative robotic arm in white and gray with a clamping fixture at the end on the top. The body is made of matte and wear-resistant engineering plastic and metal with anti-slip spraying treatment, presenting a smooth and rounded shape with a strong sense of technology. The black grid background of 3D modeling highlights its digital asset attribute, conforming to the design style of industrial intelligent equipment.","(-0.46622996367466546, -0.3965823725051269, 0.0036535561084733393)","(1.0772689609836175, 0.39658250510574605, 1.1375124670930243)"
