Assets Type,InstanceID,Path,Tag,Description,bbox_min_meters,bbox_max_meters
Scene,Scene.a.1,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Scene/smallscene.usdz,DNA:D_{I}(a),"Functional Features:This scene depicts a single-story modular industrial building. Functionally, it serves as a small production workshop, warehouse, or auxiliary office space, suitable for light industrial operations, logistics transit, and temporary offices. Its open layout and orderly design support flexible zoning, and the overhead mounting structure facilitates equipment installation for high practicality. 
Visual Features: Visually, the exterior is dominated by orange-yellow and white tones, with matte orange-yellow panels on the upper half and white brick-like finishes on the lower half. The interior features dark blue matte floor tiles and overhead industrial pendant lights, paired with a weathered dark gray metal roof. The overall style is concise and bright, combining industrial and modern aesthetics with clean, unadorned surface treatment.","(-0.13119670083258736, -0.19409040742674805, -0.04650005513427436)","(0.1250000061035155, 0.21, 0.09247009232303033)"
Scene,Scene.a.2,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Scene/Balan.usdz,DNA:D_{I}(b),"Functional Features:This warehouse-like building is a large-span open space, functionally designed for exhibitions, conferences, or events. It supports flexible layout of pendant lights, with large side and roof windows ensuring abundant natural light to meet diverse public activity needs. 
Visual Features: Visually, it adopts a minimalist industrial style: light gray walls paired with dark gray/red-patterned carpets, white pendant lights and window frames brightening the space. Surfaces are mostly matte-finished with minimal decoration, while window shadows create layered spatial texture, balancing practicality and understated industrial aesthetics.","(-0.01757520407493873, -0.01574803126421401, -0.00017999046908769576)","(0.33253583241099344, 0.6496063819645422, 0.19904767621499997)"
Scene,Scene.a.3,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Scene/model_workshop_02.usdz,DNA:D_{I}(c),"Functional Features:This large-span steel-structure warehouse is functionally suitable for industrial storage, production workshops, or logistics hubs. Its open column-free space facilitates equipment layout and cargo handling, while roof skylights and side wall panels ensure natural lighting, with column bumpers enhancing operational safety. 
Visual Features: Visually, it features an industrial palette: two-tone walls (white upper, blue lower) paired with dark steel beams. The floor is divided into high-gloss green epoxy and matte gray sections. Corrugated metal siding, smooth painted columns, and reflective flooring create material contrast, presenting a rugged, minimalist aesthetic that balances practical protection and industrial order.","(-0.19260348818521336, -0.23783050537109376, -0.042781898009148424)","(0.19260348818521336, 0.23783050537109376, 0.042781898009148424)"
Scene,Scene.a.4,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Scene/factory.usdz,DNA:D_{I}(d),"Functional Features:This scene depicts a large multi-story industrial building. Functionally, it serves as an old industrial factory, warehouse, or renovated public space, suitable for industrial heritage reuse, retro film/TV scene construction, large-scale warehousing, or creative offices. Its large-span lighting design and orderly layout meet diverse needs for long-term storage, production operations, or public activities. 
Visual Features: Visually, the exterior wall is made of weathered brown metal panels with obvious rust and wear, paired with rows of grid-patterned glass windows. The interior floor features dark gray stone tiles with red veining, presenting a heavy, retro industrial style with calm tones and realistic surface treatment, highlighting the aged texture of old industrial architecture.","(-0.23808589727142193, -0.33108106486197125, -0.004779826273983409)","(0.2533054983538659, 0.34645419937610195, 0.19418720685361648)"
Scene,Scene.a.5,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Scene/Building.usdz,DNA:D_{I}(e),"Functional Features:This object is a single-story industrial-style building model. Functionally, it serves as a warehouse, small production workshop, or community auxiliary building, applicable to industrial sites, old block renovation, or game/film scene construction, with low-cost, easily modifiable general-purpose space attributes. 
Visual Features: Visually, the building is a regular cuboid: the exterior wall is mainly light mint-green paint, with red brick plinths and top trims, and dark gray corrugated metal panels in the middle. The light gray flat roof features rust-colored metal railings; the wall has multiple metal grid windows, with partial faded color-striped awnings. The weathered materials present an aged, realistic industrial texture.","(-28.90906560251713, -25.0, -0.2497946430904017)","(25.284041793256044, 25.0, 14.030491512014594)"
Scene,Scene.a.6,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Scene/Long_Warehouse.usdz,DNA:D_{I}(f),"Functional Features:This scene depicts an old single-story red brick industrial factory building. Functionally, it serves as a warehouse, small production workshop, or a carrier for industrial renovation projects, suitable for old industrial area redevelopment, retro film/TV scene construction, and art studio conversion. Its high side windows and large roller doors adapt to cargo transportation and lighting needs, featuring low-cost renovation and flexible utilization.
Visual Features: Visually, the exterior wall is red brick, paired with weathered blue steel roller doors. The side walls have multi-pane glass windows with rusted metal frames, showing stains and aging marks. The roof is dark gray tiled, with realistic surface treatment, presenting an aged industrial texture dominated by red, gray, and blue tones, with a rugged and retro style.","(-25.779253985451415, -51.87791708432622, -0.002953740935356943)","(304.8364952615685, 51.87792384496128, 49.53184368678194)"
Scene,Scene.a.6,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Scene/factory1.usdz,DNA:D_{I}(g),"Functional Features:This scene depicts a large industrial factory building. Functionally, it is a versatile space for warehousing, large-scale manufacturing, or logistics transit, featuring an open, unobstructed interior and expandable structure. It adapts to industrial production, e-commerce warehousing, and film/TV scene construction, accommodating heavy equipment operations and bulk cargo storage. 
Visual Features: Visually, the interior is dominated by silver-gray steel columns and light gray concrete floors marked with yellow dividing lines, complemented by a mezzanine with yellow railings and large glass windows, presenting a clean, orderly industrial texture. The exterior model is a pure white mockup with a smooth matte finish, showing the factory outline with roof lighting structures and sharp, modern lines.","(-1.140000121003386, -1.1576150224457014, -0.26979870155009533)","(1.140000121003386, 1.1576150224457014, 0.2697987015500954)"
Scene,Scene.a.7,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Scene/Factory_bac.usdz,DNA:D_{I}(h),"Functional Features:This large-span steel warehouse is functionally suitable for storage, light manufacturing, or logistics transfer. Its open, column-free layout allows flexible arrangement of equipment and goods, while large side windows provide ample natural light, and roller doors facilitate cargo loading/unloading. 
Visual Features: Visually, it adopts a minimalist industrial style: dark black walls and columns paired with light gray high-gloss epoxy flooring, accented by light blue/gray window frames. Surfaces feature matte metal finishes and reflective floors, with sharp window shadows cast on the ground, creating a sleek, cool aesthetic that balances practicality and modern industrial design.","(-5.936624631586328, -27.71009056610001, -4.5776363435834523e-10)","(7.9133753684139885, 27.691557253287282, 8.347366792582717)"
Scene,Scene.a.8,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Scene/model_factory_bac.usdz,DNA:D_{I}(i),"Functional Features:This warehouse-like building is an industrial factory with a mezzanine corridor, functionally suitable for production workshops, laboratories, or exhibition centers. Its open main space paired with an upper platform enables layered operations, tours, or equipment maintenance. Large side windows ensure natural lighting, and high-gloss flooring facilitates cleaning with clear zoning.
Visual Features: Visually, it features a modern industrial palette: light gray walls and columns paired with blue railings and floor lines, with black window frames defining the grid. Surfaces are primarily matte paint and reflective epoxy floors, while white light strips and glowing door frames enhance the tech-inspired aesthetic, balancing functionality and order.","(-0.21993, -0.37091, -0.00027249813079833986)","(0.22227001220703127, 0.3763900335693359, 0.13862750160694123)"
Scene,Scene.a.9,/media/simple/another_Documents/isaacsim_assets/device_data/usdz/Scene/model_work_bac.usdz,DNA:D_{I}(j),"Functional Features:This large-span open steel warehouse is functionally suitable for industrial production, storage, or logistics transfer. Its column-free open space facilitates equipment layout and cargo turnover, while wall-mounted pipe brackets support various industrial pipeline arrangements, with clear floor markings aiding zoning management. 
Visual Features:  Visually, it adopts a minimalist industrial style: silver-gray metal frames paired with high-gloss white floors, accented by red/yellow/blue pipes and panels as functional markers. Surfaces feature matte metal and reflective epoxy finishes, presenting sharp, cool lines that balance practical protection and modern industrial order.","(-0.24074099212646485, -0.5571, -7.998580932619958e-06)","(0.24437999099731447, 0.5516900244140625, 0.16104700008392328)"
