Assets Type,Path,Tag,Description
Conveyor,/media/simple/another_Documents/isaacsim_assets/Assets/Isaac/4.5/Isaac/Props/Conveyors/ConveyorBelt_A16.usd,"Shape: circular
Directionality: one-way
DNA: DC(a)
Scale:1","Functional Features: This object is an arc-shaped multi-layer conveyor belt system, functioning to steer and transfer materials in layers. It is used for efficient material steering and multi-layer diversion in scenarios like logistics sorting and electronic manufacturing, improving the material flow efficiency of production lines or warehouses. Its application scenarios include package steering and conveying in e-commerce sorting centers and multi-layer material distribution in auto parts production lines. It can meet the demand for one-way arc transmission, optimize space utilization and enhance transmission continuity.
Visual Features: The main body features a blue frame with a black conveyor belt and silver rollers. The material combines metal (frame, rollers) and rubber (conveyor belt), with a surface treatment that shows the solid texture of metal and the wear-resistant properties of rubber. The arc structure design is highly industrial against the black background, and the multi-layer layout highlights the rationality of space utilization and the efficiency of transmission."
Conveyor,/media/simple/another_Documents/isaacsim_assets/Assets/Isaac/4.5/Isaac/Props/Conveyors/ConveyorBelt_A08.usd,"Shape: straight
Directionality: one-way
DNA:DC(b)
Scale:1","Functional Features: This object is a straight roller conveyor belt, functioning to transmit materials in a straight and one-way manner. It is used for automated transportation of pallets and boxed goods in industrial production lines and warehousing logistics, and can connect upstream and downstream equipment to complete continuous material flow. Its application scenarios include parts transportation in electronic manufacturing lines and cargo transfer before sorting in e-commerce warehouses. It can efficiently handle linear transportation tasks of regular-shaped materials, improving the automated flow efficiency of production lines and warehouses.
Visual Features: The main body features a blue metal frame with silver rollers. The material combines metal (frame, rollers) and industrial plastic accessories, with a surface treatment that shows the solid luster of metal and the regular texture of components. The straight structure design is concise and practical, and the blue-silver color scheme against the black background highlights the professionalism and functionality of industrial equipment."
Conveyor,/media/simple/another_Documents/isaacsim_assets/Assets/Isaac/4.5/Isaac/Props/Conveyors/ConveyorBelt_A09.usd,"Shape: straight
Directionality: one-way
DNA:DC(c)
Scale:1","Functional Features: This object is a straight flat conveyor belt, functioning to transmit materials in a one-way straight line. It is used for automated transportation of boxed and plate-shaped goods in industrial production and warehousing sorting scenarios, and can connect production equipment or sorting systems to complete continuous material flow. Its application scenarios include finished product transportation in food processing lines and small cargo transfer in e-commerce warehouses. It can efficiently handle linear transportation tasks of various regular materials, improving the automated operation efficiency of production lines and warehouses.
Visual Features: The main body features a blue metal frame with a silver-gray flat conveyor belt. The material combines metal (frame) and wear-resistant plate (conveyor belt), with a surface treatment that shows the solid texture of metal and the flat characteristics of the plate. The straight structure design is concise and practical, and the blue-silver color scheme against the black background highlights the professionalism and functionality of industrial equipment."
Conveyor,/media/simple/another_Documents/isaacsim_assets/assets/Conveyor_Belt/Conveyor_Belt.usdc,"Shape：straight
Directionality：one-way
DNA：DC(d)
Scale:1","Functional Features: This object is an industrial conveyor belt system primarily used for transporting items during manufacturing or packaging processes. Its functional features include efficient material handling, making it suitable for automated production lines, logistics sorting centers, and food processing facilities. The belt surface features diagonal textures that enhance grip, preventing slippage and ensuring stable, secure transport. The structure is reinforced with evenly spaced vertical metal supports, each anchored with square bases to maintain stability and durability during high-speed operation.
Visual Features: Visually, the conveyor system has a sleek silver-gray appearance, typical of industrial-grade metal equipment. The materials are likely stainless steel or aluminum alloy, chosen for their corrosion resistance and structural strength. The support frames have a smooth metallic finish, while the belt surface incorporates anti-slip textures for both functionality and safety. The overall design is clean and utilitarian, reflecting the practical aesthetics of modern industrial machinery.
"
Conveyor,/media/simple/another_Documents/isaacsim_assets/assets/Simple_rubber_conveyor/Simple_rubber_conveyor.usdc,"Shape:straight
Directionality:two-way
DNA:DC(e)
Scale:0.01","Functional Features: This conveyor system is a typical industrial transport device designed for continuous material handling along production lines. Its functional features include efficient transfer, automated integration, and workflow optimization, making it suitable for manufacturing, packaging, logistics, and assembly applications. Driven by motorized rollers, the belt reliably moves items from one end to the other, improving operational efficiency and reducing manual labor—especially ideal for takt-based production and flexible manufacturing systems.
Visual Features: Visually, the conveyor features a blue metal frame paired with a black rubber belt, offering strong industrial visibility. The frame is typically made of powder-coated steel or anodized aluminum, ensuring structural strength and corrosion resistance. The belt surface is made of anti-slip rubber, adaptable to various material types. The overall structure is clean and stable, with round bases on each leg for easy installation and leveling, reflecting a practical and modular design philosophy."
Conveyor,/media/simple/another_Documents/isaacsim_assets/Assets/new/Warehouse_NVD@10013/Assets/DigitalTwin/Assets/Warehouse/Equipment/Conveyors/ConveyorAsm_A/conveyor1.usd,"Shape:circular
Directionality:two-way
DNA:DC(f)
Scale:1","Functional Features: This object is a modular roller conveyor system designed for efficient material handling in industrial and logistics environments. Its primary function is to transport goods—such as packages, components, or materials—along a predefined path within warehouses, manufacturing plants, or distribution centers. The system includes both straight and curved segments, allowing it to adapt to complex spatial layouts and direct items to various destinations. It is particularly useful in automated or semi-automated workflows, improving throughput and reducing manual labor.
Visual Features: Visually, the conveyor system features a robust blue-painted metal frame that supports a series of cylindrical rollers. These rollers are typically made of stainless steel or coated metal, offering durability and low-friction movement. The surface treatment appears to be powder-coated for corrosion resistance and aesthetic uniformity. The color scheme—primarily industrial blue with metallic silver rollers—conveys a clean, professional, and functional design suited for high-traffic operational settings."
Conveyor,/media/simple/another_Documents/isaacsim_assets/Assets/Isaac/5.0/NVIDIA/Assets/DigitalTwin/Assets/Warehouse/Equipment/Conveyors/ConveyorBelt_A/ConveyorBelt_A60_PR_NVD_01.usd,"Shape:straight
Directionality:two-way
DNA:DC(g)
Scale:0.01","Functional Features:This object is a modular conveyor system designed for efficient material handling in warehouses, manufacturing plants, assembly lines, and sorting centers. Its functional features include an L-shaped configuration that integrates both roller conveyor sections and belt conveyor segments. The rollers enable gravity-fed movement of items, while the powered belt sections allow for controlled transport, accommodating various types of goods. The system is supported by sturdy legs and cross braces, ensuring structural stability and load-bearing capacity. Its modular design allows for flexible reconfiguration based on operational needs.
Visual Features:Visually, the conveyor system features a blue metal frame paired with silver rollers and black belts, creating a strong industrial contrast. The frame is made of high-strength metal with a powder-coated finish, offering excellent resistance to corrosion and wear—ideal for demanding environments. The overall structure is clean-lined and compact, emphasizing functionality, durability, and ease of maintenance. This system is a vital component in modern smart manufacturing and automated logistics operations."
,,,
,,,
,,,
,,,
